"year_week","region","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2012-44","Piedmont",30,79,39112,2.02,9,3.72,17,3.76,41,1.75,12,1.37
"2012-44","Aosta Valley",0,0,0,0,0,0,0,0,0,0,0,0
"2012-44","Lombardy",132,95,184625,0.51,29,1.82,8,0.29,53,1.32,5,0.13
"2012-44","AP Bolzano",0,0,0,0,0,0,0,0,0,0,0,0
"2012-44","AP Trento",12,13,16246,0.8,9,7.89,2,100,2,0.2,0,0
"2012-44","Veneto",70,6,90354,0.07,0,0,0,0,5,0.1,1,0.05
"2012-44","Friuli-Venezia Giulia",13,3,17908,0.17,0,0,0,0,1,0.21,2,0.45
"2012-44","Liguria",40,28,45865,0.61,10,3.53,5,1.14,8,0.97,5,0.37
"2012-44","Emilia Romagna",19,13,27098,0.48,6,4.15,6,2.09,1,0.06,0,0
"2012-44","Tuscany",46,40,58245,0.69,1,0.32,1,0.15,31,2.29,7,0.5
"2012-44","Umbria",11,0,13098,0,0,0,0,0,0,0,0,0
"2012-44","Marche",3,0,3192,0,0,0,0,0,0,0,0,0
"2012-44","Lazio",66,48,85566,0.56,8,1.8,5,0.54,27,0.5,8,0.45
"2012-44","Abruzzo",9,3,9996,0.3,0,0,0,0,2,0.9,1,0.47
"2012-44","Molise",0,0,0,0,0,0,0,0,0,0,0,0
"2012-44","Campania",6,12,7121,1.69,0,0,2,1.82,8,1.77,2,1.69
"2012-44","Apulia",114,26,149133,0.17,5,0.75,0,0,16,0.46,5,0.17
"2012-44","Basilicata",0,0,0,0,0,0,0,0,0,0,0,0
"2012-44","Calabria",13,21,16402,1.28,9,4.48,2,0.47,10,3.31,0,0
"2012-44","Sicily",52,40,67442,0.59,0,0,2,0.59,29,1.89,9,0.56
"2012-44","Sardinia",7,2,7033,0.28,0,0,0,0,2,0.75,0,0
"2012-45","Piedmont",29,62,37407,1.66,12,4.46,6,1.19,34,1.58,10,1.22
"2012-45","Aosta Valley",0,0,0,0,0,0,0,0,0,0,0,0
"2012-45","Lombardy",134,126,187947,0.67,28,1.76,14,0.51,80,2.26,4,0.1
"2012-45","AP Bolzano",7,5,11578,0.43,0,0,1,0.84,4,0.52,0,0
"2012-45","AP Trento",10,14,11964,1.17,9,5.36,3,0.97,2,0.37,0,0
"2012-45","Veneto",60,24,78691,0.3,0,0,0,0,22,0.47,2,0.11
"2012-45","Friuli-Venezia Giulia",16,4,22398,0.18,1,0.93,0,0,2,0.36,1,0.18
"2012-45","Liguria",41,31,47709,0.65,7,2.93,6,1.5,12,1.17,6,0.43
"2012-45","Emilia Romagna",28,46,38369,1.2,20,7.62,16,2.97,10,0.47,0,0
"2012-45","Tuscany",43,34,55357,0.61,0,0,1,0.18,28,2.55,5,0.36
"2012-45","Umbria",10,4,11899,0.34,3,2.4,0,0,1,1.27,0,0
"2012-45","Marche",5,10,5554,1.8,0,0,5,3.81,4,1.57,1,0.97
"2012-45","Lazio",61,61,80330,0.76,4,1.17,3,0.4,42,0.8,12,0.7
"2012-45","Abruzzo",13,1,14510,0.07,0,0,0,0,1,0.33,0,0
"2012-45","Molise",0,0,0,0,0,0,0,0,0,0,0,0
"2012-45","Campania",21,26,24640,1.06,0,0,6,1.45,14,0.97,6,1.66
"2012-45","Apulia",112,32,144145,0.22,8,0.94,3,0.18,14,0.46,7,0.25
"2012-45","Basilicata",0,0,0,0,0,0,0,0,0,0,0,0
"2012-45","Calabria",12,24,15767,1.52,10,5.29,6,1.54,7,3.16,1,0.49
"2012-45","Sicily",54,62,69773,0.89,0,0,1,0.23,45,3.04,16,0.99
