"year_week","region","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2019-44","Piedmont",44,123,60417,2.04,20,3.94,14,1.61,73,2.27,16,1.11
"2019-44","Aosta Valley",0,0,0,0,0,0,0,0,0,0,0,0
"2019-44","Lombardy",99,261,130485,2,42,4.51,15,0.69,175,2.47,29,1.01
"2019-44","AP Bolzano",3,3,4154,0.72,0,0,0,0,2,0.92,1,1.4
"2019-44","AP Trento",9,30,12327,2.43,6,7.59,0,0,18,2.72,6,2.31
"2019-44","Veneto",64,72,83240,0.86,0,0,4,0.43,53,1.06,15,0.71
"2019-44","Friuli-Venezia Giulia",10,11,11919,0.92,0,0,0,0,9,1.85,2,0.8
"2019-44","Liguria",15,14,17851,0.78,1,0.86,1,0.39,10,1.08,2,0.41
"2019-44","Emilia Romagna",49,80,60002,1.33,19,3.9,9,0.77,44,1.47,8,0.6
"2019-44","Tuscany",39,97,65087,1.49,20,9.92,14,2.61,55,1.48,8,0.39
"2019-44","Umbria",4,0,4574,0,0,0,0,0,0,0,0,0
"2019-44","Marche",10,2,11165,0.18,0,0,0,0,1,0.26,1,0.67
"2019-44","Lazio",97,133,124613,1.07,5,1.03,8,0.63,97,1.24,23,0.79
"2019-44","Abruzzo",40,91,46181,1.97,6,2.86,7,1.15,57,2.02,21,2.15
"2019-44","Molise",8,11,8258,1.33,0,0,0,0,7,1.51,4,1.96
"2019-44","Campania",18,30,21438,1.4,6,2.39,12,2.47,11,1.03,1,0.3
"2019-44","Apulia",55,60,65147,0.92,10,3.24,7,0.93,30,0.74,13,0.91
"2019-44","Basilicata",7,0,7865,0,0,0,0,0,0,0,0,0
"2019-44","Calabria",0,0,0,0,0,0,0,0,0,0,0,0
"2019-44","Sicily",75,149,95779,1.56,0,0,5,0.89,105,1.63,39,1.62
"2019-44","Sardinia",2,1,1256,0.8,0,0,0,0,1,1.12,0,0
"2019-45","Piedmont",59,235,77319,3.04,53,10.51,41,4.44,121,2.74,20,1.06
"2019-45","Aosta Valley",2,3,3200,0.94,0,0,0,0,3,1.29,0,0
"2019-45","Lombardy",113,299,146862,2.04,55,4.65,36,1.38,174,2.24,34,1.08
"2019-45","AP Bolzano",5,5,6963,0.72,3,3.34,0,0,2,0.57,0,0
"2019-45","AP Trento",10,12,13989,0.86,6,11.21,3,1.7,3,0.36,0,0
"2019-45","Veneto",74,130,97005,1.34,5,1.28,7,0.62,97,1.7,21,0.85
"2019-45","Friuli-Venezia Giulia",14,27,17257,1.56,1,0.47,3,0.64,19,2.59,4,1.29
"2019-45","Liguria",17,27,20595,1.31,0,0,0,0,27,2.34,0,0
"2019-45","Emilia Romagna",56,158,68014,2.32,20,3.77,18,1.28,104,3.08,16,1.08
"2019-45","Tuscany",37,127,60070,2.11,22,10.16,19,3.16,74,2.21,12,0.65
"2019-45","Umbria",8,1,8369,0.12,0,0,0,0,1,0.29,0,0
"2019-45","Marche",15,24,18263,1.31,3,1.79,9,2.24,12,1.36,0,0
"2019-45","Lazio",99,181,127666,1.42,8,1.62,15,1.17,132,1.64,26,0.88
"2019-45","Abruzzo",45,151,52774,2.86,11,4.15,12,1.6,97,3.05,31,2.85
"2019-45","Molise",8,20,8258,2.42,0,0,0,0,14,3.01,6,2.94
"2019-45","Campania",40,60,52635,1.14,15,3.05,12,1.26,30,1.05,3,0.31
"2019-45","Apulia",92,106,110092,0.96,11,2.29,12,1.02,66,0.96,17,0.69
"2019-45","Basilicata",12,0,14914,0,0,0,0,0,0,0,0,0
"2019-45","Calabria",0,0,0,0,0,0,0,0,0,0,0,0
"2019-45","Sicily",80,321,100574,3.19,10,5.01,16,2.53,199,2.96,96,3.83
"2019-45","Sardinia",7,0,9214,0,0,0,0,0,0,0,0,0
"2019-46","Piedmont",52,244,70037,3.48,35,7.46,33,4.03,150,3.72,26,1.54
"2019-46","Aosta Valley",5,9,7477,1.2,0,0,2,2.59,6,1.31,1,0.58
"2019-46","Lombardy",100,389,130307,2.99,66,6.04,63,2.63,223,3.28,37,1.35
