"year_week","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2003-42",776,357,1000656,0.36,60552,43,0.71,124369,48,0.39,624850,206,0.33,190885,60,0.31
"2003-43",824,500,1066723,0.47,63246,61,0.96,130992,66,0.5,668897,299,0.45,203588,74,0.36
"2003-44",887,597,1150866,0.52,67190,72,1.07,140176,76,0.54,724178,354,0.49,219322,95,0.43
"2003-45",922,723,1204797,0.6,67698,90,1.33,144237,98,0.68,760942,431,0.57,231920,104,0.45
"2003-46",955,742,1251026,0.59,69826,90,1.29,148325,95,0.64,792406,438,0.55,240469,119,0.49
"2003-47",952,866,1244433,0.7,70630,113,1.6,149176,119,0.8,785088,523,0.67,239539,111,0.46
"2003-48",956,805,1250648,0.64,70893,108,1.52,149869,125,0.83,789786,488,0.62,240100,84,0.35
"2003-49",949,990,1242983,0.8,69728,142,2.04,147142,175,1.19,786028,562,0.71,240085,111,0.46
"2003-50",960,1238,1256363,0.99,69854,207,2.96,148522,211,1.42,796545,690,0.87,241442,130,0.54
"2003-51",949,1615,1242043,1.3,69775,225,3.22,146986,293,1.99,786760,898,1.14,238522,199,0.83
"2003-52",922,1589,1207104,1.32,66498,208,3.13,140657,313,2.23,766001,880,1.15,233948,188,0.8
"2004-01",917,2058,1202319,1.71,64167,169,2.63,138457,308,2.22,767556,1297,1.69,232139,284,1.22
"2004-02",940,2670,1227765,2.17,68036,240,3.53,144499,353,2.44,779243,1755,2.25,235987,322,1.36
"2004-03",950,3512,1243420,2.82,68895,440,6.39,146349,586,4,788509,2092,2.65,239667,394,1.64
"2004-04",947,4543,1237574,3.67,69575,805,11.57,147078,945,6.43,784420,2391,3.05,236501,402,1.7
"2004-05",947,5440,1236811,4.4,68181,851,12.48,145941,1225,8.39,784564,2925,3.73,238125,439,1.84
"2004-06",951,5988,1240307,4.83,69397,968,13.95,147342,1340,9.09,785714,3172,4.04,237854,508,2.14
"2004-07",934,5809,1222902,4.75,66420,963,14.5,141905,1283,9.04,778672,3005,3.86,235905,558,2.37
"2004-08",932,5618,1215472,4.62,68480,878,12.82,145206,1272,8.76,768755,2960,3.85,233031,508,2.18
"2004-09",919,4793,1197005,4,67357,718,10.66,143483,1099,7.66,757337,2521,3.33,228828,455,1.99
"2004-10",919,4267,1198232,3.56,66184,612,9.25,142221,1051,7.39,760293,2200,2.89,229534,404,1.76
"2004-11",916,3922,1191925,3.29,66033,614,9.3,141839,976,6.88,755914,2018,2.67,228139,314,1.38
"2004-12",899,3205,1168862,2.74,66678,434,6.51,140349,914,6.51,737824,1566,2.12,224011,291,1.3
"2004-13",877,2458,1144868,2.15,65752,391,5.95,138354,761,5.5,722765,1124,1.56,217997,182,0.83
"2004-14",850,1870,1110636,1.68,63431,259,4.08,133216,572,4.29,701362,911,1.3,212627,128,0.6
"2004-15",818,1285,1067732,1.2,60200,159,2.64,128768,370,2.87,675375,649,0.96,203389,107,0.53
"2004-16",778,782,1016345,0.77,55831,96,1.72,120664,196,1.62,645241,405,0.63,194609,85,0.44
"2004-17",695,539,901833,0.6,49767,74,1.49,107274,124,1.16,570423,273,0.48,174369,68,0.39
