"year_week","region","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2020-44","Piedmont",51,396,72328,5.48,115,28.45,76,8.45,169,4.04,36,2.06
"2020-44","Aosta Valley",0,0,0,0,0,0,0,0,0,0,0,0
"2020-44","Lombardy",175,1287,236448,5.44,396,22.56,181,4.6,595,4.63,115,2.26
"2020-44","AP Bolzano",0,0,0,0,0,0,0,0,0,0,0,0
"2020-44","AP Trento",0,0,0,0,0,0,0,0,0,0,0,0
"2020-44","Veneto",18,22,24813,0.89,5,3.52,0,0,15,1.1,2,0.33
"2020-44","Friuli-Venezia Giulia",0,0,0,0,0,0,0,0,0,0,0,0
"2020-44","Liguria",10,8,12624,0.63,0,0,0,0,7,0.91,1,0.26
"2020-44","Emilia Romagna",44,208,53748,3.87,68,25.14,22,3.34,105,3.32,13,1.01
"2020-44","Tuscany",27,110,44188,2.49,29,14.02,19,3.44,52,2.24,10,0.75
"2020-44","Umbria",0,0,0,0,0,0,0,0,0,0,0,0
"2020-44","Marche",7,26,8487,3.06,0,0,2,2.34,23,4.27,1,0.5
"2020-44","Lazio",184,757,241530,3.13,114,12.08,79,3.2,464,3.08,100,1.76
"2020-44","Abruzzo",35,112,38525,2.91,23,6.56,25,3.3,53,2.66,11,1.47
"2020-44","Molise",10,8,7461,1.07,0,0,1,2.02,5,1.08,2,0.95
"2020-44","Campania",0,0,0,0,0,0,0,0,0,0,0,0
"2020-44","Apulia",88,260,110177,2.36,63,10.09,52,3.86,109,1.69,36,1.39
"2020-44","Basilicata",0,0,0,0,0,0,0,0,0,0,0,0
"2020-44","Calabria",0,0,0,0,0,0,0,0,0,0,0,0
"2020-44","Sicily",108,263,129877,2.02,42,8.8,32,2.37,140,1.75,49,1.56
"2020-44","Sardinia",0,0,0,0,0,0,0,0,0,0,0,0
"2020-45","Piedmont",47,405,64404,6.29,123,29.03,76,8.13,176,4.91,30,2
"2020-45","Aosta Valley",0,0,0,0,0,0,0,0,0,0,0,0
"2020-45","Lombardy",211,1679,280281,5.99,461,25.1,200,4.78,855,5.44,163,2.59
"2020-45","AP Bolzano",4,12,6118,1.96,4,11.87,0,0,8,2.18,0,0
"2020-45","AP Trento",4,13,5762,2.26,4,10.93,1,1.09,8,2.56,0,0
"2020-45","Veneto",29,40,40753,0.98,7,2.58,0,0,28,1.25,5,0.52
"2020-45","Friuli-Venezia Giulia",0,0,0,0,0,0,0,0,0,0,0,0
"2020-45","Liguria",14,48,17848,2.69,5,7.52,13,8.25,28,2.7,2,0.38
"2020-45","Emilia Romagna",47,287,56241,5.1,81,27.5,38,5.32,145,4.43,23,1.72
"2020-45","Tuscany",34,164,55231,2.97,44,16.34,26,3.63,77,2.66,17,1.03
"2020-45","Umbria",0,0,0,0,0,0,0,0,0,0,0,0
"2020-45","Marche",14,58,16231,3.57,12,8.69,18,5.51,16,1.94,12,3.58
"2020-45","Lazio",185,862,243487,3.54,149,15.74,102,4.12,491,3.24,120,2.08
"2020-45","Abruzzo",35,175,41735,4.19,45,15.37,42,6.43,68,2.86,20,2.36
"2020-45","Molise",11,16,9295,1.72,0,0,1,1.83,8,1.32,7,2.89
"2020-45","Campania",0,0,0,0,0,0,0,0,0,0,0,0
"2020-45","Apulia",104,425,133169,3.19,60,8.76,51,3.37,254,3.19,60,1.9
"2020-45","Basilicata",0,0,0,0,0,0,0,0,0,0,0,0
"2020-45","Calabria",0,0,0,0,0,0,0,0,0,0,0,0
"2020-45","Sicily",91,369,111025,3.32,71,18.15,60,5.87,161,2.33,77,2.77
"2020-45","Sardinia",0,0,0,0,0,0,0,0,0,0,0,0
"2020-46","Piedmont",46,375,64330,5.83,111,29.6,65,8.24,163,4.43,36,2.26
"2020-46","Aosta Valley",0,0,0,0,0,0,0,0,0,0,0,0
"2020-46","Lombardy",204,1866,272074,6.86,456,25.8,249,6.2,999,6.54,162,2.63
"2020-46","AP Bolzano",6,14,8842,1.58,4,5.93,3,1.83,7,1.45,0,0
