"year_week","region","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-24","cases_15-24","inc_15-24","pop_25-44","cases_25-44","inc_25-44","pop_45-64","cases_45-64","inc_45-64","pop_65+","cases_65+","inc_65+"
"2024-43","AP Bolzano",4,11,6300,"1.75",NA,4,"9.03",NA,1,"1.01",NA,3,"4.17",NA,1,"0.71",NA,2,"1.22",NA,0,"0"
"2024-43","AP Trento",7,51,9190,"5.55",NA,9,"25.64",NA,10,"13.53",NA,3,"2.75",NA,16,"8.5",NA,10,"3.62",NA,3,"1.27"
"2024-43","Apulia",69,619,90889,"6.81",NA,114,"25.86",NA,88,"8.45",NA,52,"6.02",NA,134,"7.1",NA,138,"5.1",NA,93,"4.33"
"2024-43","Sardinia",12,115,15169,"7.58",NA,39,"26.92",NA,23,"7.29",NA,8,"5.38",NA,8,"3.15",NA,32,"8.22",NA,5,"1.89"
"2024-43","Sicily",98,838,123096,"6.81",NA,86,"12.26",NA,112,"7.31",NA,84,"7.37",NA,172,"6.68",NA,222,"6.58",NA,162,"5.42"
"2024-43","Tuscany",35,342,50121,"6.82",NA,47,"15.8",NA,25,"3.27",NA,31,"6.44",NA,85,"8.62",NA,100,"7.54",NA,54,"4.67"
"2024-43","Umbria",3,10,3454,"2.9",NA,0,NA,NA,0,"0",NA,0,"0",NA,2,"2.28",NA,4,"3.82",NA,4,"4.44"
"2024-43","Aosta Valley",3,7,3366,"2.08",NA,0,NA,NA,0,"0",NA,1,"2.62",NA,3,"4.26",NA,3,"2.47",NA,0,"0"
"2024-43","Veneto",50,445,68568,"6.49",NA,67,"18.52",NA,25,"2.59",NA,53,"8.58",NA,142,"10.27",NA,112,"5.95",NA,46,"2.79"
"2024-44","Abruzzo",97,860,112428,"7.65",NA,82,"28.72",NA,92,"10.96",NA,68,"6.46",NA,190,"7.21",NA,238,"7.05",NA,190,"6.22"
"2024-44","Basilicata",3,45,4314,"10.43",NA,7,"17.11",NA,12,"15.44",NA,5,"14.49",NA,4,"5.15",NA,8,"7.63",NA,9,"9.39"
"2024-44","Calabria",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-44","Campania",5,36,7467,"4.82",NA,0,NA,NA,0,"0",NA,6,"6.86",NA,7,"3.71",NA,13,"5.13",NA,10,"5.1"
"2024-44","Emilia-Romagna",98,924,124500,"7.42",NA,203,"29.46",NA,134,"7.63",NA,65,"5.54",NA,205,"8.59",NA,210,"5.96",NA,107,"3.66"
"2024-44","Friuli-Venezia Giulia",20,117,23524,"4.97",NA,60,"16.73",NA,20,"2.74",NA,3,"2.5",NA,12,"3.8",NA,15,"3.49",NA,7,"1.75"
"2024-44","Lazio",183,1803,243966,"7.39",NA,244,"20.84",NA,200,"6.93",NA,166,"7.22",NA,401,"8.25",NA,442,"6.06",NA,350,"5.95"
"2024-44","Liguria",37,250,53508,"4.67",NA,23,"22.68",NA,12,"3.77",NA,21,"4.25",NA,66,"5.98",NA,81,"4.86",NA,47,"2.82"
"2024-44","Lombardy",311,3358,441149,"7.61",NA,502,"19.62",NA,353,"5.47",NA,313,"7.74",NA,853,"9.49",NA,840,"6.83",NA,497,"5.09"
"2024-44","Marche",16,161,19934,"8.08",NA,57,"23.22",NA,29,"5.39",NA,9,"6.11",NA,26,"8.53",NA,34,"8.07",NA,6,"1.78"
"2024-44","Molise",3,7,3338,"2.1",NA,2,"5.71",NA,0,"0",NA,1,"7.41",NA,2,"3.88",NA,1,"1.23",NA,1,"1.1"
"2024-44","Piedmont",71,954,102947,"9.27",NA,60,"15.21",NA,64,"5.65",NA,104,"11.36",NA,227,"10.33",NA,267,"9.07",NA,232,"8.55"
"2024-44","AP Bolzano",6,20,7841,"2.55",NA,3,"8.26",NA,2,"2.51",NA,1,"0.95",NA,7,"3.88",NA,6,"2.6",NA,1,"0.66"
"2024-44","AP Trento",5,111,7722,"14.37",NA,0,NA,NA,5,"38.17",NA,27,"30.86",NA,20,"11.03",NA,34,"12.73",NA,25,"11.2"
"2024-44","Apulia",110,979,144224,"6.79",NA,175,"22.52",NA,145,"7.76",NA,74,"5.26",NA,199,"6.69",NA,222,"5.45",NA,164,"4.94"
"2024-44","Sardinia",13,181,16680,"10.85",NA,74,"48.49",NA,42,"12.85",NA,8,"4.39",NA,21,"7.8",NA,22,"5.17",NA,14,"4.5"
"2024-44","Sicily",95,856,119988,"7.13",NA,70,"12.87",NA,117,"9.56",NA,95,"8.83",NA,175,"6.65",NA,223,"6.45",NA,176,"5.73"
"2024-44","Tuscany",33,298,47475,"6.28",NA,46,"16.29",NA,36,"4.59",NA,33,"7.18",NA,66,"7.2",NA,81,"6.5",NA,36,"3.4"
"2024-44","Umbria",7,32,8220,"3.89",NA,0,"0",NA,4,"2.78",NA,4,"4.8",NA,8,"5.22",NA,9,"4.33",NA,7,"3.8"
"2024-44","Aosta Valley",8,56,10083,"5.55",NA,9,"13.7",NA,7,"6.04",NA,7,"6.44",NA,9,"5.25",NA,11,"3.68",NA,13,"5.25"
"2024-44","Veneto",59,451,79784,"5.65",NA,87,"21.53",NA,34,"3.09",NA,40,"5.51",NA,120,"7.42",NA,114,"5.21",NA,56,"2.88"
"2024-45","Abruzzo",95,909,112738,"8.06",NA,76,"33.49",NA,70,"9.75",NA,85,"8.17",NA,217,"7.99",NA,249,"7.37",NA,212,"6.64"
"2024-45","Basilicata",5,51,6848,"7.45",NA,21,"25.61",NA,7,"5.15",NA,6,"12.96",NA,5,"4.41",NA,7,"4.44",NA,5,"3.35"
"2024-45","Calabria",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024-45","Campania",4,44,5913,"7.44",NA,0,NA,NA,0,"0",NA,1,"1.46",NA,11,"7.58",NA,20,"10.19",NA,12,"7.42"
"2024-45","Emilia-Romagna",114,1071,140526,"7.62",NA,239,"22.25",NA,161,"6.68",NA,90,"7.39",NA,249,"10.04",NA,227,"6.11",NA,105,"3.33"
