"flu_season","year_week","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"2022-2023","2023-03","Parainfluenzali",1220,1124,8
"2022-2023","2023-03","Adenovirus",1220,1124,4
"2022-2023","2023-03","Generic coronavirus",1220,1124,3
"2022-2023","2023-03","Bocavirus",1220,1124,1
"2022-2023","2023-03","Metapneumovirus",1220,1124,22
"2022-2023","2023-04","FLU A",1099,1028,83
"2022-2023","2023-04","A",1099,1028,9
"2022-2023","2023-04","A(H3N2)",1099,1028,41
"2022-2023","2023-04","A(H1N1)pdm2009",1099,1028,33
"2022-2023","2023-04","FLU B",1099,1028,44
"2022-2023","2023-04","SARS-CoV-2",1099,1028,60
"2022-2023","2023-04","Rhinovirus",1099,1028,42
"2022-2023","2023-04","RSV",1099,1028,171
"2022-2023","2023-04","Parainfluenzali",1099,1028,11
"2022-2023","2023-04","Adenovirus",1099,1028,15
"2022-2023","2023-04","Generic coronavirus",1099,1028,0
"2022-2023","2023-04","Bocavirus",1099,1028,2
"2022-2023","2023-04","Metapneumovirus",1099,1028,30
"2022-2023","2023-05","FLU A",1069,992,61
"2022-2023","2023-05","A",1069,992,4
"2022-2023","2023-05","A(H3N2)",1069,992,27
"2022-2023","2023-05","A(H1N1)pdm2009",1069,992,30
"2022-2023","2023-05","FLU B",1069,992,50
"2022-2023","2023-05","SARS-CoV-2",1069,992,52
"2022-2023","2023-05","Rhinovirus",1069,992,57
"2022-2023","2023-05","RSV",1069,992,136
"2022-2023","2023-05","Parainfluenzali",1069,992,7
"2022-2023","2023-05","Adenovirus",1069,992,15
"2022-2023","2023-05","Generic coronavirus",1069,992,6
"2022-2023","2023-05","Bocavirus",1069,992,2
"2022-2023","2023-05","Metapneumovirus",1069,992,45
"2022-2023","2023-06","FLU A",818,777,58
"2022-2023","2023-06","A",818,777,5
"2022-2023","2023-06","A(H3N2)",818,777,17
"2022-2023","2023-06","A(H1N1)pdm2009",818,777,36
"2022-2023","2023-06","FLU B",818,777,68
"2022-2023","2023-06","SARS-CoV-2",818,777,42
"2022-2023","2023-06","Rhinovirus",818,777,39
"2022-2023","2023-06","RSV",818,777,84
"2022-2023","2023-06","Parainfluenzali",818,777,3
"2022-2023","2023-06","Adenovirus",818,777,12
"2022-2023","2023-06","Generic coronavirus",818,777,2
"2022-2023","2023-06","Bocavirus",818,777,5
"2022-2023","2023-06","Metapneumovirus",818,777,45
"2022-2023","2023-07","FLU A",955,897,62
"2022-2023","2023-07","A",955,897,3
"2022-2023","2023-07","A(H3N2)",955,897,11
"2022-2023","2023-07","A(H1N1)pdm2009",955,897,48
"2022-2023","2023-07","FLU B",955,897,96
"2022-2023","2023-07","SARS-CoV-2",955,897,59
"2022-2023","2023-07","Rhinovirus",955,897,53
"2022-2023","2023-07","RSV",955,897,66
"2022-2023","2023-07","Parainfluenzali",955,897,7
"2022-2023","2023-07","Adenovirus",955,897,18
"2022-2023","2023-07","Generic coronavirus",955,897,6
"2022-2023","2023-07","Bocavirus",955,897,1
"2022-2023","2023-07","Metapneumovirus",955,897,56
"2022-2023","2023-08","FLU A",1000,945,67
"2022-2023","2023-08","A",1000,945,4
"2022-2023","2023-08","A(H3N2)",1000,945,17
"2022-2023","2023-08","A(H1N1)pdm2009",1000,945,46
"2022-2023","2023-08","FLU B",1000,945,158
"2022-2023","2023-08","SARS-CoV-2",1000,945,36
"2022-2023","2023-08","Rhinovirus",1000,945,67
"2022-2023","2023-08","RSV",1000,945,47
"2022-2023","2023-08","Parainfluenzali",1000,945,12
"2022-2023","2023-08","Adenovirus",1000,945,29
"2022-2023","2023-08","Generic coronavirus",1000,945,5
"2022-2023","2023-08","Bocavirus",1000,945,0
"2022-2023","2023-08","Metapneumovirus",1000,945,38
"2022-2023","2023-09","FLU A",922,882,41
"2022-2023","2023-09","A",922,882,1
"2022-2023","2023-09","A(H3N2)",922,882,8
"2022-2023","2023-09","A(H1N1)pdm2009",922,882,32
"2022-2023","2023-09","FLU B",922,882,159
"2022-2023","2023-09","SARS-CoV-2",922,882,53
"2022-2023","2023-09","Rhinovirus",922,882,46
"2022-2023","2023-09","RSV",922,882,27
"2022-2023","2023-09","Parainfluenzali",922,882,19
"2022-2023","2023-09","Adenovirus",922,882,14
"2022-2023","2023-09","Generic coronavirus",922,882,3
"2022-2023","2023-09","Bocavirus",922,882,1
"2022-2023","2023-09","Metapneumovirus",922,882,32
"2022-2023","2023-10","FLU A",929,855,48
"2022-2023","2023-10","A",929,855,5
"2022-2023","2023-10","A(H3N2)",929,855,7
"2022-2023","2023-10","A(H1N1)pdm2009",929,855,36
"2022-2023","2023-10","FLU B",929,855,137
"2022-2023","2023-10","SARS-CoV-2",929,855,27
"2022-2023","2023-10","Rhinovirus",929,855,44
"2022-2023","2023-10","RSV",929,855,31
"2022-2023","2023-10","Parainfluenzali",929,855,16
"2022-2023","2023-10","Adenovirus",929,855,29
"2022-2023","2023-10","Generic coronavirus",929,855,13
"2022-2023","2023-10","Bocavirus",929,855,0
"2022-2023","2023-10","Metapneumovirus",929,855,38
"2022-2023","2023-11","FLU A",866,819,41
"2022-2023","2023-11","A",866,819,12
"2022-2023","2023-11","A(H3N2)",866,819,3
"2022-2023","2023-11","A(H1N1)pdm2009",866,819,26
"2022-2023","2023-11","FLU B",866,819,129
"2022-2023","2023-11","SARS-CoV-2",866,819,47
"2022-2023","2023-11","Rhinovirus",866,819,54
"2022-2023","2023-11","RSV",866,819,14
"2022-2023","2023-11","Parainfluenzali",866,819,19
"2022-2023","2023-11","Adenovirus",866,819,35
"2022-2023","2023-11","Generic coronavirus",866,819,5
"2022-2023","2023-11","Bocavirus",866,819,1
"2022-2023","2023-11","Metapneumovirus",866,819,27
"2022-2023","2023-12","FLU A",707,661,40
"2022-2023","2023-12","A",707,661,3
"2022-2023","2023-12","A(H3N2)",707,661,2
"2022-2023","2023-12","A(H1N1)pdm2009",707,661,35
"2022-2023","2023-12","FLU B",707,661,116
"2022-2023","2023-12","SARS-CoV-2",707,661,54
"2022-2023","2023-12","Rhinovirus",707,661,32
"2022-2023","2023-12","RSV",707,661,8
"2022-2023","2023-12","Parainfluenzali",707,661,22
"2022-2023","2023-12","Adenovirus",707,661,15
"2022-2023","2023-12","Generic coronavirus",707,661,2
"2022-2023","2023-12","Bocavirus",707,661,3
"2022-2023","2023-12","Metapneumovirus",707,661,20
"2022-2023","2023-13","FLU A",694,661,17
"2022-2023","2023-13","A",694,661,1
"2022-2023","2023-13","A(H3N2)",694,661,1
"2022-2023","2023-13","A(H1N1)pdm2009",694,661,15
"2022-2023","2023-13","FLU B",694,661,82
"2022-2023","2023-13","SARS-CoV-2",694,661,35
"2022-2023","2023-13","Rhinovirus",694,661,47
"2022-2023","2023-13","RSV",694,661,9
"2022-2023","2023-13","Parainfluenzali",694,661,13
"2022-2023","2023-13","Adenovirus",694,661,37
"2022-2023","2023-13","Generic coronavirus",694,661,5
"2022-2023","2023-13","Bocavirus",694,661,0
"2022-2023","2023-13","Metapneumovirus",694,661,19
"2022-2023","2023-14","FLU A",542,511,20
"2022-2023","2023-14","A",542,511,2
"2022-2023","2023-14","A(H3N2)",542,511,0
"2022-2023","2023-14","A(H1N1)pdm2009",542,511,18
"2022-2023","2023-14","FLU B",542,511,45
"2022-2023","2023-14","SARS-CoV-2",542,511,18
"2022-2023","2023-14","Rhinovirus",542,511,40
"2022-2023","2023-14","RSV",542,511,3
"2022-2023","2023-14","Parainfluenzali",542,511,24
"2022-2023","2023-14","Adenovirus",542,511,25
"2022-2023","2023-14","Generic coronavirus",542,511,6
"2022-2023","2023-14","Bocavirus",542,511,1
"2022-2023","2023-14","Metapneumovirus",542,511,13
"2022-2023","2023-15","FLU A",514,476,12
"2022-2023","2023-15","A",514,476,2
"2022-2023","2023-15","A(H3N2)",514,476,1
"2022-2023","2023-15","A(H1N1)pdm2009",514,476,9
"2022-2023","2023-15","FLU B",514,476,42
"2022-2023","2023-15","SARS-CoV-2",514,476,21
"2022-2023","2023-15","Rhinovirus",514,476,40
"2022-2023","2023-15","RSV",514,476,3
"2022-2023","2023-15","Parainfluenzali",514,476,19
"2022-2023","2023-15","Adenovirus",514,476,22
"2022-2023","2023-15","Generic coronavirus",514,476,8
"2022-2023","2023-15","Bocavirus",514,476,1
"2022-2023","2023-15","Metapneumovirus",514,476,8
"2022-2023","2023-16","FLU A",505,466,8
"2022-2023","2023-16","A",505,466,0
"2022-2023","2023-16","A(H3N2)",505,466,0
"2022-2023","2023-16","A(H1N1)pdm2009",505,466,8
"2022-2023","2023-16","FLU B",505,466,33
"2022-2023","2023-16","SARS-CoV-2",505,466,22
"2022-2023","2023-16","Rhinovirus",505,466,32
"2022-2023","2023-16","RSV",505,466,3
"2022-2023","2023-16","Parainfluenzali",505,466,26
"2022-2023","2023-16","Adenovirus",505,466,30
"2022-2023","2023-16","Generic coronavirus",505,466,5
"2022-2023","2023-16","Bocavirus",505,466,2
"2022-2023","2023-16","Metapneumovirus",505,466,9
"2022-2023","2023-17","FLU A",553,529,11
"2022-2023","2023-17","A",553,529,2
"2022-2023","2023-17","A(H3N2)",553,529,1
"2022-2023","2023-17","A(H1N1)pdm2009",553,529,8
"2022-2023","2023-17","FLU B",553,529,12
"2022-2023","2023-17","SARS-CoV-2",553,529,8
"2022-2023","2023-17","Rhinovirus",553,529,34
"2022-2023","2023-17","RSV",553,529,0
"2022-2023","2023-17","Parainfluenzali",553,529,24
"2022-2023","2023-17","Adenovirus",553,529,34
"2022-2023","2023-17","Generic coronavirus",553,529,5
"2022-2023","2023-17","Bocavirus",553,529,0
"2022-2023","2023-17","Metapneumovirus",553,529,4
"2023-2024","2023-46","FLU A",808,NA,22
"2023-2024","2023-46","A",808,NA,0
"2023-2024","2023-46","A(H3N2)",808,NA,3
"2023-2024","2023-46","A(H1N1)pdm2009",808,NA,19
"2023-2024","2023-46","FLU B",808,NA,0
"2023-2024","2023-46","SARS-CoV-2",808,NA,182
"2023-2024","2023-46","Rhinovirus",808,NA,162
"2023-2024","2023-46","RSV",808,NA,34
"2023-2024","2023-46","Parainfluenzali",808,NA,15
"2023-2024","2023-46","Adenovirus",808,NA,45
"2023-2024","2023-46","Generic coronavirus",808,NA,11
"2023-2024","2023-46","Bocavirus",808,NA,0
"2023-2024","2023-46","Metapneumovirus",808,NA,3
"2023-2024","2023-47","FLU A",994,NA,51
"2023-2024","2023-47","A",994,NA,0
"2023-2024","2023-47","A(H3N2)",994,NA,3
"2023-2024","2023-47","A(H1N1)pdm2009",994,NA,48
"2023-2024","2023-47","FLU B",994,NA,4
"2023-2024","2023-47","SARS-CoV-2",994,NA,333
"2023-2024","2023-47","Rhinovirus",994,NA,175
"2023-2024","2023-47","RSV",994,NA,57
"2023-2024","2023-47","Parainfluenzali",994,NA,11
"2023-2024","2023-47","Adenovirus",994,NA,33
"2023-2024","2023-47","Generic coronavirus",994,NA,10
"2023-2024","2023-47","Bocavirus",994,NA,1
"2023-2024","2023-47","Metapneumovirus",994,NA,3
"2023-2024","2023-48","FLU A",1115,NA,117
"2023-2024","2023-48","A",1115,NA,2
"2023-2024","2023-48","A(H3N2)",1115,NA,5
"2023-2024","2023-48","A(H1N1)pdm2009",1115,NA,110
"2023-2024","2023-48","FLU B",1115,NA,2
"2023-2024","2023-48","SARS-CoV-2",1115,NA,418
"2023-2024","2023-48","Rhinovirus",1115,NA,171
"2023-2024","2023-48","RSV",1115,NA,101
"2023-2024","2023-48","Parainfluenzali",1115,NA,13
"2023-2024","2023-48","Adenovirus",1115,NA,40
"2023-2024","2023-48","Generic coronavirus",1115,NA,17
"2023-2024","2023-48","Bocavirus",1115,NA,3
"2023-2024","2023-48","Metapneumovirus",1115,NA,7
"2023-2024","2023-49","FLU A",1003,NA,162
"2023-2024","2023-49","A",1003,NA,10
"2023-2024","2023-49","A(H3N2)",1003,NA,2
"2023-2024","2023-49","A(H1N1)pdm2009",1003,NA,150
"2023-2024","2023-49","FLU B",1003,NA,2
"2023-2024","2023-49","SARS-CoV-2",1003,NA,402
"2023-2024","2023-49","Rhinovirus",1003,NA,128
"2023-2024","2023-49","RSV",1003,NA,118
"2023-2024","2023-49","Parainfluenzali",1003,NA,12
"2023-2024","2023-49","Adenovirus",1003,NA,36
"2023-2024","2023-49","Generic coronavirus",1003,NA,25
"2023-2024","2023-49","Bocavirus",1003,NA,5
"2023-2024","2023-49","Metapneumovirus",1003,NA,6
"2023-2024","2023-50","FLU A",1531,NA,494
"2023-2024","2023-50","A",1531,NA,28
"2023-2024","2023-50","A(H3N2)",1531,NA,7
"2023-2024","2023-50","A(H1N1)pdm2009",1531,NA,459
"2023-2024","2023-50","FLU B",1531,NA,7
"2023-2024","2023-50","SARS-CoV-2",1531,NA,521
"2023-2024","2023-50","Rhinovirus",1531,NA,150
"2023-2024","2023-50","RSV",1531,NA,170
"2023-2024","2023-50","Parainfluenzali",1531,NA,14
"2023-2024","2023-50","Adenovirus",1531,NA,52
"2023-2024","2023-50","Generic coronavirus",1531,NA,25
"2023-2024","2023-50","Bocavirus",1531,NA,3
"2023-2024","2023-50","Metapneumovirus",1531,NA,10
"2023-2024","2023-51","FLU A",941,NA,798
"2023-2024","2023-51","A",941,NA,61
"2023-2024","2023-51","A(H3N2)",941,NA,25
"2023-2024","2023-51","A(H1N1)pdm2009",941,NA,712
"2023-2024","2023-51","FLU B",941,NA,8
"2023-2024","2023-51","SARS-CoV-2",941,NA,438
"2023-2024","2023-51","Rhinovirus",941,NA,148
"2023-2024","2023-51","RSV",941,NA,224
"2023-2024","2023-51","Parainfluenzali",941,NA,18
"2023-2024","2023-51","Adenovirus",941,NA,38
"2023-2024","2023-51","Generic coronavirus",941,NA,24
"2023-2024","2023-51","Bocavirus",941,NA,3
"2023-2024","2023-51","Metapneumovirus",941,NA,13
"2023-2024","2023-52","FLU A",1461,NA,1173
"2023-2024","2023-52","A",1461,NA,198
"2023-2024","2023-52","A(H3N2)",1461,NA,22
"2023-2024","2023-52","A(H1N1)pdm2009",1461,NA,953
"2023-2024","2023-52","FLU B",1461,NA,9
"2023-2024","2023-52","SARS-CoV-2",1461,NA,350
"2023-2024","2023-52","Rhinovirus",1461,NA,88
"2023-2024","2023-52","RSV",1461,NA,262
"2023-2024","2023-52","Parainfluenzali",1461,NA,17
"2023-2024","2023-52","Adenovirus",1461,NA,42
"2023-2024","2023-52","Generic coronavirus",1461,NA,30
"2023-2024","2023-52","Bocavirus",1461,NA,7
"2023-2024","2023-52","Metapneumovirus",1461,NA,12
"2023-2024","2024-01","FLU A",2295,NA,1145
"2023-2024","2024-01","A",2295,NA,236
"2023-2024","2024-01","A(H3N2)",2295,NA,35
"2023-2024","2024-01","A(H1N1)pdm2009",2295,NA,874
"2023-2024","2024-01","FLU B",2295,NA,8
"2023-2024","2024-01","SARS-CoV-2",2295,NA,344
"2023-2024","2024-01","Rhinovirus",2295,NA,91
"2023-2024","2024-01","RSV",2295,NA,272
"2023-2024","2024-01","Parainfluenzali",2295,NA,8
"2023-2024","2024-01","Adenovirus",2295,NA,36
"2023-2024","2024-01","Generic coronavirus",2295,NA,30
"2023-2024","2024-01","Bocavirus",2295,NA,7
"2023-2024","2024-01","Metapneumovirus",2295,NA,13
"2023-2024","2024-02","FLU A",2679,NA,974
"2023-2024","2024-02","A",2679,NA,155
"2023-2024","2024-02","A(H3N2)",2679,NA,33
"2023-2024","2024-02","A(H1N1)pdm2009",2679,NA,786
"2023-2024","2024-02","FLU B",2679,NA,7
"2023-2024","2024-02","SARS-CoV-2",2679,NA,222
"2023-2024","2024-02","Rhinovirus",2679,NA,118
"2023-2024","2024-02","RSV",2679,NA,302
"2023-2024","2024-02","Parainfluenzali",2679,NA,5
"2023-2024","2024-02","Adenovirus",2679,NA,40
"2023-2024","2024-02","Generic coronavirus",2679,NA,42
"2023-2024","2024-02","Bocavirus",2679,NA,16
"2023-2024","2024-02","Metapneumovirus",2679,NA,18
"2023-2024","2024-03","FLU A",3367,NA,717
"2023-2024","2024-03","A",3367,NA,108
"2023-2024","2024-03","A(H3N2)",3367,NA,24
"2023-2024","2024-03","A(H1N1)pdm2009",3367,NA,585
"2023-2024","2024-03","FLU B",3367,NA,16
"2023-2024","2024-03","SARS-CoV-2",3367,NA,167
"2023-2024","2024-03","Rhinovirus",3367,NA,113
"2023-2024","2024-03","RSV",3367,NA,329
"2023-2024","2024-03","Parainfluenzali",3367,NA,15
"2023-2024","2024-03","Adenovirus",3367,NA,23
"2023-2024","2024-03","Generic coronavirus",3367,NA,32
"2023-2024","2024-03","Bocavirus",3367,NA,10
"2023-2024","2024-03","Metapneumovirus",3367,NA,22
"2023-2024","2024-04","FLU A",3151,NA,511
"2023-2024","2024-04","A",3151,NA,77
"2023-2024","2024-04","A(H3N2)",3151,NA,22
"2023-2024","2024-04","A(H1N1)pdm2009",3151,NA,412
"2023-2024","2024-04","FLU B",3151,NA,23
"2023-2024","2024-04","SARS-CoV-2",3151,NA,128
"2023-2024","2024-04","Rhinovirus",3151,NA,130
"2023-2024","2024-04","RSV",3151,NA,445
"2023-2024","2024-04","Parainfluenzali",3151,NA,7
"2023-2024","2024-04","Adenovirus",3151,NA,37
"2023-2024","2024-04","Generic coronavirus",3151,NA,61
"2023-2024","2024-04","Bocavirus",3151,NA,12
"2023-2024","2024-04","Metapneumovirus",3151,NA,22
"2023-2024","2024-05","FLU A",2781,NA,371
"2023-2024","2024-05","A",2781,NA,50
"2023-2024","2024-05","A(H3N2)",2781,NA,22
"2023-2024","2024-05","A(H1N1)pdm2009",2781,NA,299
"2023-2024","2024-05","FLU B",2781,NA,27
"2023-2024","2024-05","SARS-CoV-2",2781,NA,75
"2023-2024","2024-05","Rhinovirus",2781,NA,110
"2023-2024","2024-05","RSV",2781,NA,425
"2023-2024","2024-05","Parainfluenzali",2781,NA,8
"2023-2024","2024-05","Adenovirus",2781,NA,43
"2023-2024","2024-05","Generic coronavirus",2781,NA,65
"2023-2024","2024-05","Bocavirus",2781,NA,21
"2023-2024","2024-05","Metapneumovirus",2781,NA,28
"2023-2024","2024-06","FLU A",2942,NA,270
"2023-2024","2024-06","A",2942,NA,35
"2023-2024","2024-06","A(H3N2)",2942,NA,24
"2023-2024","2024-06","A(H1N1)pdm2009",2942,NA,211
"2023-2024","2024-06","FLU B",2942,NA,63
"2023-2024","2024-06","SARS-CoV-2",2942,NA,65
"2023-2024","2024-06","Rhinovirus",2942,NA,150
"2023-2024","2024-06","RSV",2942,NA,410
"2023-2024","2024-06","Parainfluenzali",2942,NA,22
"2023-2024","2024-06","Adenovirus",2942,NA,42
"2023-2024","2024-06","Generic coronavirus",2942,NA,71
"2023-2024","2024-06","Bocavirus",2942,NA,24
"2023-2024","2024-06","Metapneumovirus",2942,NA,47
"2023-2024","2024-07","FLU A",2679,NA,168
"2023-2024","2024-07","A",2679,NA,26
"2023-2024","2024-07","A(H3N2)",2679,NA,21
"2023-2024","2024-07","A(H1N1)pdm2009",2679,NA,121
"2023-2024","2024-07","FLU B",2679,NA,59
"2023-2024","2024-07","SARS-CoV-2",2679,NA,60
"2023-2024","2024-07","Rhinovirus",2679,NA,130
"2023-2024","2024-07","RSV",2679,NA,343
"2023-2024","2024-07","Parainfluenzali",2679,NA,19
"2023-2024","2024-07","Adenovirus",2679,NA,44
"2023-2024","2024-07","Generic coronavirus",2679,NA,65
"2023-2024","2024-07","Bocavirus",2679,NA,14
"2023-2024","2024-07","Metapneumovirus",2679,NA,46
"2023-2024","2024-08","FLU A",2520,NA,110
"2023-2024","2024-08","A",2520,NA,18
"2023-2024","2024-08","A(H3N2)",2520,NA,16
"2023-2024","2024-08","A(H1N1)pdm2009",2520,NA,76
"2023-2024","2024-08","FLU B",2520,NA,70
"2023-2024","2024-08","SARS-CoV-2",2520,NA,41
"2023-2024","2024-08","Rhinovirus",2520,NA,129
"2023-2024","2024-08","RSV",2520,NA,243
"2023-2024","2024-08","Parainfluenzali",2520,NA,13
"2023-2024","2024-08","Adenovirus",2520,NA,48
"2023-2024","2024-08","Generic coronavirus",2520,NA,54
"2023-2024","2024-08","Bocavirus",2520,NA,12
"2023-2024","2024-08","Metapneumovirus",2520,NA,61
"2023-2024","2024-09","FLU A",2267,NA,59
"2023-2024","2024-09","A",2267,NA,14
"2023-2024","2024-09","A(H3N2)",2267,NA,16
"2023-2024","2024-09","A(H1N1)pdm2009",2267,NA,29
"2023-2024","2024-09","FLU B",2267,NA,62
"2023-2024","2024-09","SARS-CoV-2",2267,NA,17
"2023-2024","2024-09","Rhinovirus",2267,NA,146
"2023-2024","2024-09","RSV",2267,NA,183
"2023-2024","2024-09","Parainfluenzali",2267,NA,12
"2023-2024","2024-09","Adenovirus",2267,NA,39
"2023-2024","2024-09","Generic coronavirus",2267,NA,53
"2023-2024","2024-09","Bocavirus",2267,NA,16
"2023-2024","2024-09","Metapneumovirus",2267,NA,90
"2023-2024","2024-10","FLU A",2267,NA,54
"2023-2024","2024-10","A",2267,NA,6
"2023-2024","2024-10","A(H3N2)",2267,NA,25
"2023-2024","2024-10","A(H1N1)pdm2009",2267,NA,23
"2023-2024","2024-10","FLU B",2267,NA,64
"2023-2024","2024-10","SARS-CoV-2",2267,NA,17
"2023-2024","2024-10","Rhinovirus",2267,NA,153
"2023-2024","2024-10","RSV",2267,NA,125
"2023-2024","2024-10","Parainfluenzali",2267,NA,25
"2023-2024","2024-10","Adenovirus",2267,NA,47
"2023-2024","2024-10","Generic coronavirus",2267,NA,47
"2023-2024","2024-10","Bocavirus",2267,NA,16
"2023-2024","2024-10","Metapneumovirus",2267,NA,115
"2023-2024","2024-11","FLU A",2242,NA,27
"2023-2024","2024-11","A",2242,NA,5
"2023-2024","2024-11","A(H3N2)",2242,NA,7
"2023-2024","2024-11","A(H1N1)pdm2009",2242,NA,15
"2023-2024","2024-11","FLU B",2242,NA,57
"2023-2024","2024-11","SARS-CoV-2",2242,NA,15
"2023-2024","2024-11","Rhinovirus",2242,NA,167
"2023-2024","2024-11","RSV",2242,NA,85
"2023-2024","2024-11","Parainfluenzali",2242,NA,45
"2023-2024","2024-11","Adenovirus",2242,NA,50
"2023-2024","2024-11","Generic coronavirus",2242,NA,60
"2023-2024","2024-11","Bocavirus",2242,NA,15
"2023-2024","2024-11","Metapneumovirus",2242,NA,115
"2023-2024","2024-12","FLU A",2075,NA,19
"2023-2024","2024-12","A",2075,NA,4
"2023-2024","2024-12","A(H3N2)",2075,NA,4
"2023-2024","2024-12","A(H1N1)pdm2009",2075,NA,11
"2023-2024","2024-12","FLU B",2075,NA,54
"2023-2024","2024-12","SARS-CoV-2",2075,NA,12
"2023-2024","2024-12","Rhinovirus",2075,NA,123
"2023-2024","2024-12","RSV",2075,NA,54
"2023-2024","2024-12","Parainfluenzali",2075,NA,32
"2023-2024","2024-12","Adenovirus",2075,NA,49
"2023-2024","2024-12","Generic coronavirus",2075,NA,39
"2023-2024","2024-12","Bocavirus",2075,NA,9
"2023-2024","2024-12","Metapneumovirus",2075,NA,106
